Родительское Обращение;Родительское Время возникновения;Родительское Время устранения;Родительская Корневая причина;Родительсие Принимаемые меры
ИНЦ18-00778021;18.12.18 18:05;18.12.18 18:30;Ошибка при установке/обновлении ППО;привлечение вп
ИНЦ18-00779124;19.12.18 10:40;19.12.18 14:10;Ошибка при взаимодействии с сервером дорожного уровня/со смежной системой;привлечение вп
ИНЦ19-00086771;20.02.19 11:18;20.02.19 12:06;Ошибка в программном коде ППО;перезапуск приложения
ИНЦ19-00222983;30.04.19 6:58;30.04.19 7:35;Ошибка СПО;перезапуск приложения
ИНЦ19-00223221;30.04.19 8:58;30.04.19 13:18;Ошибка при установке/обновлении ППО;привлечение ВП
ИНЦ19-00417967;25.07.19 13:35;25.07.19 15:27;Ошибка СПО;диагностика
ИНЦ19-00466055;15.08.19 12:32;16.08.19 23:54;Ошибка не выявлена при тестировании - функционал не тестируется (тестируется ФЗ);привлечение вп
ИНЦ19-00615701;21.10.19 17:02;21.10.19 17:50;Ошибка СПО;диагностика
ИНЦ19-00619256;23.10.19 9:03;23.10.19 9:31;Ошибка не выявлена при тестировании (ТП не в полном объеме соответствует продуктивному);привлечение вп
ИНЦ19-00715167;03.12.19 13:46;04.12.19 13:41;Недостаточно времени на проведение тестирования (срочное внесение изменений);привлечение ВП
ИНЦ20-00021625;16.01.20 8:39;16.01.20 10:07;Ошибка не выявлена при тестировании (ТП не в полном объеме соответствует продуктивному);привлечение вп
ИНЦ20-00172212;27.03.20 13:57;27.03.20 14:37;Ошибка не выявлена при тестировании - функционал не тестируется (тестируется ФЗ);привлечение вп
ИНЦ20-00195279;08.04.20 18:00;08.04.20 19:16;Ошибки при проектировании ИС;привлечение вп
ИНЦ20-00239568;27.04.20 11:01;27.04.20 14:37;Ошибка в программном коде ППО;привлечение ВП
ИНЦ20-00244078;29.04.20 8:07;29.04.20 9:21;Ошибка не выявлена при тестировании - функционал не тестируется (тестируется ФЗ);привлечение вп
ИНЦ20-00245205;29.04.20 13:00;29.04.20 13:42;Ошибка в программном коде ППО;привлечение ВП
ИНЦ20-00352593;22.06.20 10:12;22.06.20 11:01;Некачественная версия ПО, переданная ВП (отсутствие ТП);привлечение вп
ИНЦ20-00417875;20.07.20 15:16;20.07.20 16:39;Ошибка не выявлена при тестировании - функционал не тестируется (тестируется ФЗ);привлечение ВП
ИНЦ20-00430050;24.07.20 13:16;24.07.20 13:56;Ошибка при взаимодействии с сервером дорожного уровня/со смежной системой;привлечение вп
ИНЦ20-00492796;19.08.20 11:38;19.08.20 12:50;Ошибка при проведении работ, не связанных с обновлением/установкой ППО/СПО;перезапуск сервера
ИНЦ20-00544159;10.09.20 10:44;10.09.20 21:46;Ошибка в программном коде ППО;привлечение ВП
