Series;Time;Value
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T06:00:00+05:00;2.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T07:00:00+05:00;1
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T08:00:00+05:00;1.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T09:00:00+05:00;3
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T10:00:00+05:00;8
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T11:00:00+05:00;41.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T12:00:00+05:00;92.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T13:00:00+05:00;125.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T14:00:00+05:00;130.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T15:00:00+05:00;132.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T16:00:00+05:00;166
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T17:00:00+05:00;222
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T18:00:00+05:00;282
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T19:00:00+05:00;342
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T20:00:00+05:00;402
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T21:00:00+05:00;462
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T22:00:00+05:00;522
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-27T23:00:00+05:00;582
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T00:00:00+05:00;642
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T01:00:00+05:00;702
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T02:00:00+05:00;762
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T03:00:00+05:00;822
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T04:00:00+05:00;882
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T05:00:00+05:00;942
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T06:00:00+05:00;1002
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T07:00:00+05:00;1062
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T08:00:00+05:00;1122
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T09:00:00+05:00;1182
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T10:00:00+05:00;1242
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T11:00:00+05:00;1302
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-28T12:00:00+05:00;1362
