Series;Time;Value
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T13:13:02+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T13:23:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T13:33:05+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T13:43:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T13:53:00+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T14:03:00+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T14:13:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T14:23:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T14:33:01+05:00;3
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T14:43:01+05:00;2
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T14:53:01+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T15:03:00+05:00;2
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T15:13:00+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T15:23:00+05:00;3
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T15:33:01+05:00;3
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T15:43:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T15:53:02+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T16:03:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T16:13:02+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T16:23:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T16:33:01+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T16:43:02+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T16:53:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T17:03:01+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T17:13:02+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T17:23:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T17:33:02+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T17:43:00+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T17:53:01+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T18:03:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T18:13:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T18:23:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T18:33:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T18:43:01+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T18:53:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T19:03:01+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T19:13:02+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T19:23:02+05:00;8
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T19:33:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T19:43:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T19:53:03+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T20:03:01+05:00;8
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T20:13:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T20:23:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T20:33:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T20:43:00+05:00;10
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T20:53:01+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T21:03:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T21:13:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T21:23:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T21:33:02+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T21:43:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T21:53:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T22:03:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T22:13:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T22:23:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T22:33:00+05:00;5
