,clock,Free swap space in %,Free inodes on $1 (percentage)_x,Processor load (1 min average per core),Free disk space on $1 (percentage)_x,CPU $2 time_x,CPU $2 time_x,CPU $2 time_x,CPU $2 time_x,CPU $2 time_y
0,12/29/2021 12:00,96.986,96.7293,0.4164,37.3175,65.1813,0.5959,0.6588,1.9647,31.5884
1,12/29/2021 13:00,96.9538,96.7293,0.3398,37.3126,66.3591,0.4646,0.5827,1.8228,30.8428
2,12/29/2021 14:00,96.9672,96.7293,0.2929,37.3094,69.3803,0.3506,0.4766,1.6848,28.0851
3,12/29/2021 15:00,96.971,96.7293,0.3506,37.2992,68.7481,0.3432,0.4714,1.7121,28.6736
4,12/29/2021 16:00,96.9734,96.7293,0.3194,37.2956,71.2394,0.4531,0.4161,1.6525,26.2155
5,12/29/2021 17:00,96.9594,96.7293,0.343,37.2513,67.211,0.7152,0.5519,2.1388,29.2799
6,12/29/2021 18:00,96.9437,96.7293,0.3961,37.1538,65.0761,0.6084,0.653,2.3601,31.3388
7,12/29/2021 19:00,96.9259,96.7293,0.2847,37.0858,70.947,0.6701,0.5612,1.8868,25.909
8,12/29/2021 20:00,96.9299,96.7293,0.296,37.0815,71.4402,0.6979,0.4714,1.8468,25.6528
9,12/29/2021 21:00,96.9051,96.729,0.2877,37.0832,71.8201,0.5653,0.4074,1.6344,25.4768
10,12/29/2021 22:00,96.8868,96.729,0.2657,37.0793,75.2366,0.278,0.31,1.4258,22.7044
11,12/29/2021 23:00,96.8771,96.729,0.2375,37.0871,76.7243,0.1318,0.321,1.4298,21.4664
12,12/30/2021 0:00,96.8589,96.729,0.2301,37.0822,76.29,0.1851,0.3953,1.691,21.4678
13,12/30/2021 1:00,96.8347,96.729,0.3034,37.0724,73.9311,0.2193,0.4026,1.8374,23.4179
14,12/30/2021 2:00,96.8196,96.729,0.2586,37.0616,76.246,0.2768,0.3213,1.5435,21.6739
15,12/30/2021 3:00,96.8122,96.729,0.2388,37.0506,76.2289,0.1385,0.3025,1.4519,21.8569
16,12/30/2021 4:00,96.8136,96.729,0.2937,37.0417,74.9516,0.1807,0.3657,1.5586,22.9406
17,12/30/2021 5:00,96.7997,96.729,0.3327,37.0303,68.7213,0.3022,0.5097,1.7716,28.7289
18,12/30/2021 6:00,96.811,96.729,0.3838,37.0161,67.1325,0.3359,0.6081,1.9435,29.8807
19,12/30/2021 7:00,96.8366,96.729,0.3529,37.0065,66.288,0.2268,0.6148,1.9545,30.9728
20,12/30/2021 8:00,96.8392,96.729,0.3386,37.003,67.1515,0.1879,0.7412,2.1187,29.7548
21,12/30/2021 9:00,96.8222,96.729,0.3271,36.9978,69.9968,0.2199,0.5425,1.9452,27.2873
22,12/30/2021 10:00,96.7936,96.729,0.2457,36.9933,72.8421,0.244,0.4087,1.6338,25.0025
23,12/30/2021 11:00,96.7945,96.729,0.3818,36.9739,67.8871,0.6238,0.5999,1.9299,29.0063
24,12/30/2021 12:00,96.751,96.7289,0.4098,36.9503,65.4756,1.0451,0.6464,1.9352,30.9359
25,12/30/2021 13:00,96.7464,96.729,0.3688,36.9529,67.657,0.595,0.5416,1.7365,29.5235
26,12/30/2021 14:00,96.7623,96.729,0.335,36.9463,68.5959,0.6017,0.4821,1.6716,28.6162
27,12/30/2021 15:00,96.7506,96.729,0.3023,36.95,71.5527,0.4224,0.3967,1.5695,25.9857
28,12/30/2021 16:00,96.7666,96.729,0.271,36.9351,74.5515,0.6288,0.3533,1.5727,23.0336
29,12/30/2021 17:00,96.7602,96.729,0.342,36.8858,66.2888,0.7767,0.5902,2.1854,30.0091
30,12/30/2021 18:00,96.669,96.729,0.3773,36.786,64.1288,0.6789,0.7444,2.4676,32.0227
31,12/30/2021 19:00,96.7491,96.729,0.3131,36.7237,70.4547,0.7896,0.5307,1.9812,26.15
32,12/30/2021 20:00,96.8146,96.729,0.2717,36.7153,73.3766,0.7871,0.3656,1.5314,24.0212
33,12/30/2021 21:00,96.831,96.7286,0.2541,36.713,74.4105,0.8035,0.3713,1.5837,22.7493
34,12/30/2021 22:00,96.8287,96.7286,0.2356,36.7036,75.0753,0.4275,0.3206,1.4412,22.8403
35,12/30/2021 23:00,96.8281,96.7286,0.2312,36.7152,77.3346,0.2236,0.259,1.3891,20.6602
36,12/31/2021 0:00,96.7894,96.7286,0.2431,36.7135,78.5393,0.246,0.2249,1.2845,19.7492
37,12/31/2021 1:00,96.7763,96.7286,0.2595,36.7075,76.113,0.2079,0.2273,1.2968,22.1732
38,12/31/2021 2:00,96.7536,96.7286,0.2147,36.7044,80.5499,0.321,0.1758,1.179,17.8102
39,12/31/2021 3:00,96.7752,96.7286,0.2969,36.698,71.8079,0.218,0.2893,1.476,26.0384
40,12/31/2021 4:00,96.8165,96.7286,0.2874,36.6876,74.4213,0.2618,0.2894,1.4009,23.6618
41,12/31/2021 5:00,96.7782,96.7286,0.3474,36.6776,70.5282,0.2423,0.4437,1.6872,27.1375
42,12/31/2021 6:00,96.7659,96.7286,0.2659,36.6717,73.4467,0.2119,0.3725,1.6728,24.272
43,12/31/2021 7:00,96.7673,96.7286,0.25,36.6632,74.3768,0.2054,0.356,1.6973,23.3202
44,12/31/2021 8:00,96.7576,96.7286,0.2811,36.6517,77.184,0.1836,0.2522,1.3863,21.1478
45,12/31/2021 9:00,96.769,96.7286,0.2207,36.6488,78.405,0.1809,0.2745,1.3969,19.6869
46,12/31/2021 10:00,96.7677,96.7286,0.2202,36.6402,76.8994,0.1785,0.3504,1.6832,20.9243
47,12/31/2021 11:00,96.7405,96.7286,0.2891,36.6249,75.1112,0.404,0.3349,1.4853,22.6888
48,12/31/2021 12:00,96.7415,96.7285,0.2863,36.5969,71.8594,0.6707,0.4329,1.6627,25.3903
