Series;Time;Value
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-28T09:00:00+05:00;2.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-28T11:00:00+05:00;5.583349999999999
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-28T13:00:00+05:00;6.25
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-28T15:00:00+05:00;5.416650000000001
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-28T17:00:00+05:00;6.9167
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-28T19:00:00+05:00;7.083349999999999
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-28T21:00:00+05:00;4.5833
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-28T23:00:00+05:00;4.583349999999999
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T01:00:00+05:00;5.75
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T03:00:00+05:00;7.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T05:00:00+05:00;4.666650000000001
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T07:00:00+05:00;4.75
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T09:00:00+05:00;3
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T11:00:00+05:00;25.66665
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T13:00:00+05:00;35.166650000000004
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T15:00:00+05:00;7.5833
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T17:00:00+05:00;17.41665
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T19:00:00+05:00;16.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T21:00:00+05:00;3.6666499999999997
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-29T23:00:00+05:00;2.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T01:00:00+05:00;6.4167
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T03:00:00+05:00;6.916650000000001
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T05:00:00+05:00;4.4167
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T07:00:00+05:00;3.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T09:00:00+05:00;1.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T11:00:00+05:00;46.75
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T13:00:00+05:00;88.75
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T15:00:00+05:00;60.833299999999994
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T17:00:00+05:00;41.25
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T19:00:00+05:00;10.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T21:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-11-30T23:00:00+05:00;5.9167
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T01:00:00+05:00;4.9167
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T03:00:00+05:00;7.58335
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T05:00:00+05:00;3.75
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T07:00:00+05:00;3.6666499999999997
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T09:00:00+05:00;7.0833
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T11:00:00+05:00;56.91665
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T13:00:00+05:00;65.5833
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T15:00:00+05:00;12.16665
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T17:00:00+05:00;9.33335
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T19:00:00+05:00;36.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T21:00:00+05:00;5.583349999999999
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-01T23:00:00+05:00;6.166650000000001
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T01:00:00+05:00;5.833349999999999
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T03:00:00+05:00;7.083349999999999
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T05:00:00+05:00;5.75
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T07:00:00+05:00;6.25
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T09:00:00+05:00;10.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T11:00:00+05:00;32.25
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T13:00:00+05:00;21.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T15:00:00+05:00;7.75
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T17:00:00+05:00;7.666650000000001
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T19:00:00+05:00;6.666650000000001
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T21:00:00+05:00;3.41665
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-02T23:00:00+05:00;1.66665
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T01:00:00+05:00;2.3333500000000003
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T03:00:00+05:00;5.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T05:00:00+05:00;2
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T07:00:00+05:00;1.5833
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T09:00:00+05:00;2.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T11:00:00+05:00;3.0833500000000003
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T13:00:00+05:00;2.25
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T15:00:00+05:00;2.6666499999999997
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T17:00:00+05:00;4.4167
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T19:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T21:00:00+05:00;3.08335
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-03T23:00:00+05:00;1.25
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T01:00:00+05:00;1.0833
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T03:00:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T05:00:00+05:00;1.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T07:00:00+05:00;1.25
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T09:00:00+05:00;1.83335
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T11:00:00+05:00;4.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T13:00:00+05:00;3.91665
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T15:00:00+05:00;1.66665
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T17:00:00+05:00;4.0833
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T19:00:00+05:00;6.166650000000001
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T21:00:00+05:00;4.33335
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-04T23:00:00+05:00;1.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T01:00:00+05:00;1.08335
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T03:00:00+05:00;4.25
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T05:00:00+05:00;2.4166499999999997
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T07:00:00+05:00;1.33335
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T09:00:00+05:00;2.9166499999999997
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T11:00:00+05:00;7.6667000000000005
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T13:00:00+05:00;9.4167
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T15:00:00+05:00;9
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2022-12-05T17:00:00+05:00;6.9167
