"itemid";"clock";"value";"ns"
"26690";"1671709430";"1.0500";"983910910"
"26690";"1671709490";"1.0537";"370342537"
"26690";"1671709550";"0.9525";"522783660"
"26690";"1671709610";"0.7425";"770168202"
"26690";"1671709670";"0.8375";"329212126"
"26690";"1671709730";"0.6950";"652056082"
"26690";"1671709790";"0.6538";"22364461"
"26690";"1671709850";"0.8150";"316149411"
"26690";"1671709910";"0.7312";"709128584"
"26690";"1671709970";"1.0100";"959532751"
"26690";"1671710030";"1.0163";"684245906"
"26690";"1671710090";"0.8662";"320287811"
"26690";"1671710150";"0.7512";"843263159"
"26690";"1671710210";"0.6312";"330432470"
"26690";"1671710270";"0.8375";"135308472"
"26690";"1671710330";"0.7525";"756172164"
"26690";"1671710390";"0.7338";"187292551"
"26690";"1671710450";"0.6587";"402009687"
"26690";"1671710515";"0.4612";"787838695"
"26690";"1671710570";"0.5025";"701343142"
"26690";"1671710630";"0.4325";"159480130"
"26690";"1671710690";"0.5175";"205105761"
"26690";"1671710750";"0.4638";"727252087"
"26690";"1671710810";"0.4612";"268344157"
"26690";"1671710870";"0.5162";"204378028"
"26690";"1671710930";"0.7350";"574680210"
"26690";"1671710990";"1.0288";"905577409"
"26690";"1671711050";"1.1712";"87447412"
"26690";"1671711110";"0.7275";"418692226"
"26690";"1671711170";"0.5938";"761990239"
"26690";"1671711230";"0.4375";"555092359"
"26690";"1671711290";"0.3212";"67371726"
"26690";"1671711350";"0.3875";"552688665"
"26690";"1671711410";"0.4175";"910466629"
"26690";"1671711470";"0.5225";"166520142"
"26690";"1671711530";"0.5288";"252943732"
"26690";"1671711590";"0.4338";"685634804"
"26690";"1671711650";"0.3750";"931639113"
"26690";"1671711710";"0.3975";"728366425"
"26690";"1671711770";"0.4188";"146784081"
"26690";"1671711830";"0.5512";"570951575"
"26690";"1671711890";"0.5450";"957207997"
"26690";"1671711950";"0.5638";"115040557"
"26690";"1671712010";"0.5275";"429682402"
"26690";"1671712070";"0.4488";"773314356"
"26690";"1671712130";"0.4975";"709562383"
"26690";"1671712190";"0.5000";"111971445"
"26690";"1671712250";"0.5638";"464110378"
"26690";"1671712310";"0.5188";"811703171"
"26690";"1671712370";"0.6550";"153564813"
"26690";"1671712430";"0.5450";"333898224"
"26690";"1671712490";"0.5012";"690719314"
"26690";"1671712550";"0.5762";"23917599"
"26690";"1671712610";"0.5875";"222054693"
"26690";"1671712670";"0.6212";"633944453"
"26690";"1671712730";"0.7625";"953550587"
"26690";"1671712790";"0.6950";"58067602"
"26690";"1671712850";"0.4962";"317355031"
"26690";"1671712910";"0.4925";"792228318"
"26690";"1671712970";"0.6575";"119665453"
"26690";"1671713030";"0.7412";"193310661"
"26690";"1671713090";"0.6112";"247516385"
"26690";"1671713150";"0.6500";"894601013"
"26690";"1671713210";"0.7925";"70496238"
"26690";"1671713270";"0.7300";"414421004"
"26690";"1671713330";"0.5162";"746612008"
"26690";"1671713390";"0.4238";"91663902"
"26690";"1671713450";"0.5275";"44404493"
"26690";"1671713510";"0.8425";"465742660"
"26690";"1671713570";"0.7362";"853811623"
"26690";"1671713630";"0.7250";"94156304"
"26690";"1671713690";"0.8000";"99904040"
"26690";"1671713750";"0.9275";"783707013"
"26690";"1671713810";"0.9638";"479026822"
"26690";"1671713870";"0.6812";"189096585"
"26690";"1671713930";"0.6888";"239107539"
"26690";"1671713990";"0.8425";"766225434"
"26690";"1671714050";"0.9525";"199806397"
"26690";"1671714110";"0.7900";"935573205"
"26690";"1671714170";"1.4312";"223998255"
"26690";"1671714230";"1.0088";"618731017"
"26690";"1671714290";"0.7238";"108286522"
"26690";"1671714350";"0.4962";"30143586"
"26690";"1671714410";"0.7512";"519661195"
"26690";"1671714470";"0.8038";"873727780"
"26690";"1671714530";"0.6962";"28283011"
"26690";"1671714590";"0.5913";"250870696"
"26690";"1671714650";"0.3738";"628801971"
"26690";"1671714710";"0.3662";"986117131"
"26690";"1671714770";"0.4725";"436180260"
"26690";"1671714830";"0.7638";"415035169"
"26690";"1671714890";"0.5212";"916808642"
"26690";"1671714950";"0.6587";"263796427"
"26690";"1671715010";"0.7025";"522301551"
"26690";"1671715070";"0.6512";"876699922"
"26690";"1671715130";"1.0037";"84313777"
"26690";"1671715190";"0.8825";"420789343"
"26690";"1671715250";"0.8938";"794905589"
"26690";"1671715310";"0.8212";"6604716"
"26690";"1671715370";"0.6988";"180328827"
"26690";"1671715430";"0.5688";"401572616"
"26690";"1671715490";"0.7238";"849720442"
"26690";"1671715550";"0.6412";"77223783"
"26690";"1671715610";"0.5650";"268719192"
"26690";"1671715670";"0.7912";"754722654"
"26690";"1671715730";"0.8225";"424333504"
"26690";"1671715790";"0.5500";"77844578"
"26690";"1671715850";"0.6000";"17771393"
"26690";"1671715910";"0.4275";"603310437"
"26690";"1671715970";"0.4325";"882729933"
"26690";"1671716030";"0.3975";"172330884"
"26690";"1671716090";"0.3775";"440762124"
"26690";"1671716150";"0.4812";"900764812"
"26690";"1671716210";"0.4362";"293233162"
"26690";"1671716270";"0.4338";"175245601"
"26690";"1671716330";"0.4600";"659967285"
"26690";"1671716390";"0.3625";"963374232"
"26690";"1671716450";"0.3862";"270269553"
"26690";"1671716510";"0.3850";"451633530"
"26690";"1671716570";"0.5100";"804184221"
"26690";"1671716630";"0.6562";"189156025"
"26690";"1671716690";"0.5950";"391540372"
"26690";"1671716750";"0.5800";"750054910"
"26690";"1671716810";"0.5838";"272479556"
"26690";"1671716870";"0.5738";"219070989"
"26690";"1671716935";"0.5688";"598461159"
"26690";"1671716990";"0.4675";"942312838"
"26690";"1671717050";"0.3850";"106334543"
"26690";"1671717110";"0.6875";"297983571"
"26690";"1671717170";"0.5400";"695901932"
"26690";"1671717230";"0.5512";"995048269"
"26690";"1671717290";"0.4225";"137960388"
"26690";"1671717350";"0.4575";"575294174"
"26690";"1671717410";"0.4325";"919683543"
"26690";"1671717470";"0.3137";"104841973"
"26690";"1671717530";"0.5925";"88843804"
"26690";"1671717590";"0.5812";"645348081"
"26690";"1671717650";"0.4612";"408612500"
"26690";"1671717710";"0.4650";"206875519"
"26690";"1671717770";"0.9438";"437251330"
"26690";"1671717830";"2.7500";"808678022"
"26690";"1671717890";"2.1275";"430408121"
"26690";"1671717950";"0.8225";"289055889"
"26690";"1671718010";"0.3113";"605616653"
"26690";"1671718070";"0.1188";"962564331"
"26690";"1671718130";"0.0575";"327791164"
"26690";"1671718190";"0.0213";"434725820"
"26690";"1671718250";"0.0125";"857347676"
"26690";"1671718310";"0.0112";"306804956"
"26690";"1671718370";"0.0150";"487319093"
"26690";"1671718430";"0.0050";"513018716"
"26690";"1671718490";"0.0100";"940083588"
"26690";"1671718550";"0.1175";"369138125"
"26690";"1671718610";"0.3838";"372309218"
"26690";"1671718675";"0.4025";"766520906"
"26690";"1671718730";"0.6075";"978816197"
"26690";"1671718790";"0.5525";"731629804"
"26690";"1671718850";"0.4038";"383254238"
"26690";"1671718910";"0.1488";"826057000"
"26690";"1671718970";"0.0712";"653620007"
"26690";"1671719030";"0.0462";"250790483"
"26690";"1671719090";"0.0175";"612388526"
"26690";"1671719150";"0.0188";"945177883"
"26690";"1671719210";"0.0138";"324714544"
"26690";"1671719270";"0.0138";"373531780"
"26690";"1671719330";"0.0213";"807630441"
"26690";"1671719390";"0.0075";"430396374"
"26690";"1671719450";"0.0038";"181244035"
"26690";"1671719510";"0.0012";"172796144"
"26690";"1671719570";"0.0000";"623605454"
"26690";"1671719630";"0.0100";"958686961"
"26690";"1671719690";"0.0100";"109260742"
"26690";"1671719750";"0.0300";"55981573"
"26690";"1671719810";"0.0100";"860578826"
"26690";"1671719870";"0.0088";"181114702"
