,clock,value_avg
0,2021-12-29 12:00:00,0.9491
1,2021-12-29 13:00:00,0.4578
2,2021-12-29 14:00:00,0.2668
3,2021-12-29 15:00:00,0.1656
4,2021-12-29 16:00:00,0.2038
5,2021-12-29 17:00:00,0.2369
6,2021-12-29 18:00:00,0.2279
7,2021-12-29 19:00:00,0.2163
8,2021-12-29 20:00:00,0.2178
9,2021-12-29 21:00:00,0.19
10,2021-12-29 22:00:00,0.195
11,2021-12-29 23:00:00,0.209
12,2021-12-30 00:00:00,0.2675
13,2021-12-30 01:00:00,0.3385
14,2021-12-30 02:00:00,0.4041
15,2021-12-30 03:00:00,0.4065
16,2021-12-30 04:00:00,0.5357
17,2021-12-30 05:00:00,0.9662
18,2021-12-30 06:00:00,1.4686
19,2021-12-30 07:00:00,1.3688
20,2021-12-30 08:00:00,1.3783
21,2021-12-30 09:00:00,0.782
22,2021-12-30 10:00:00,0.7132
23,2021-12-30 11:00:00,0.8893
24,2021-12-30 12:00:00,0.7238
25,2021-12-30 13:00:00,0.4668
26,2021-12-30 14:00:00,0.3192
27,2021-12-30 15:00:00,0.2509
28,2021-12-30 16:00:00,0.2274
29,2021-12-30 17:00:00,0.2313
30,2021-12-30 18:00:00,0.188
31,2021-12-30 19:00:00,0.2263
32,2021-12-30 20:00:00,0.2272
33,2021-12-30 21:00:00,0.1773
34,2021-12-30 22:00:00,0.1176
35,2021-12-30 23:00:00,0.0734
36,2021-12-31 00:00:00,0.0871
37,2021-12-31 01:00:00,0.0784
38,2021-12-31 02:00:00,0.0833
39,2021-12-31 03:00:00,0.0941
40,2021-12-31 04:00:00,0.0981
41,2021-12-31 05:00:00,0.1127
42,2021-12-31 06:00:00,0.1293
43,2021-12-31 07:00:00,0.1067
44,2021-12-31 08:00:00,0.103
45,2021-12-31 09:00:00,0.073
46,2021-12-31 10:00:00,0.0733
47,2021-12-31 11:00:00,0.0721
48,2021-12-31 12:00:00,0.4045
49,2021-12-31 13:00:00,0.0267
50,2021-12-31 14:00:00,0.0244
51,2021-12-31 15:00:00,0.0196
52,2021-12-31 16:00:00,0.0253
53,2021-12-31 17:00:00,0.029
54,2021-12-31 18:00:00,0.0211
55,2021-12-31 19:00:00,0.0251
56,2021-12-31 20:00:00,0.0275
57,2021-12-31 21:00:00,0.0239
58,2021-12-31 22:00:00,0.02
59,2021-12-31 23:00:00,0.0262
60,2022-01-01 00:00:00,0.0191
