"itemid","clock","num","value_min","value_avg","value_max"
"26690","1640779200","60","0.3912","0.9491","2.8600"
"26690","1640782800","60","0.2750","0.4578","0.7288"
"26690","1640786400","60","0.0825","0.2668","0.7412"
"26690","1640790000","60","0.0688","0.1656","0.2900"
"26690","1640793600","60","0.0825","0.2038","0.3262"
"26690","1640797200","60","0.1200","0.2369","0.3562"
"26690","1640800800","60","0.0950","0.2279","0.3925"
"26690","1640804400","60","0.1138","0.2163","0.3450"
"26690","1640808000","60","0.0950","0.2178","0.3212"
"26690","1640811600","60","0.1000","0.1900","0.3100"
"26690","1640815200","60","0.0812","0.1950","0.2912"
"26690","1640818800","60","0.0888","0.2090","0.3175"
"26690","1640822400","60","0.1412","0.2675","0.4312"
"26690","1640826000","60","0.2162","0.3385","0.5475"
"26690","1640829600","60","0.1800","0.4041","0.8212"
"26690","1640833200","60","0.2150","0.4065","0.7412"
"26690","1640836800","60","0.3312","0.5357","1.0075"
"26690","1640840400","60","0.5562","0.9662","1.9262"
"26690","1640844000","60","0.6900","1.4686","4.9500"
"26690","1640847600","60","0.7775","1.3688","2.8225"
"26690","1640851200","60","0.6025","1.3783","3.4875"
"26690","1640854800","60","0.5062","0.7820","1.2025"
"26690","1640858400","60","0.4825","0.7132","1.3613"
"26690","1640862000","60","0.5350","0.8893","1.2837"
"26690","1640865600","60","0.4162","0.7238","1.7537"
"26690","1640869200","60","0.2362","0.4668","0.8188"
"26690","1640872800","60","0.1600","0.3192","0.4900"
"26690","1640876400","60","0.1438","0.2509","0.4450"
"26690","1640880000","60","0.1138","0.2274","0.4412"
"26690","1640883600","60","0.1000","0.2313","0.5150"
"26690","1640887200","60","0.0950","0.1880","0.2962"
"26690","1640890800","60","0.1250","0.2263","0.3400"
"26690","1640894400","60","0.1075","0.2272","0.4038"
"26690","1640898000","60","0.0925","0.1773","0.3025"
"26690","1640901600","60","0.0288","0.1176","0.2975"
"26690","1640905200","60","0.0300","0.0734","0.1888"
"26690","1640908800","60","0.0250","0.0871","0.3088"
"26690","1640912400","60","0.0150","0.0784","0.2000"
"26690","1640916000","60","0.0100","0.0833","0.3075"
"26690","1640919600","60","0.0100","0.0941","0.2050"
"26690","1640923200","60","0.0238","0.0981","0.2875"
"26690","1640926800","60","0.0312","0.1127","0.2250"
"26690","1640930400","60","0.0450","0.1293","0.2425"
"26690","1640934000","60","0.0300","0.1067","0.2275"
"26690","1640937600","60","0.0488","0.1030","0.2512"
"26690","1640941200","60","0.0250","0.0730","0.1688"
"26690","1640944800","60","0.0175","0.0733","0.1975"
"26690","1640948400","60","0.0162","0.0721","0.3150"
"26690","1640952000","60","0.0075","0.4045","5.0325"
"26690","1640955600","60","0.0038","0.0267","0.1100"
"26690","1640959200","60","0.0025","0.0244","0.0875"
"26690","1640962800","60","0.0025","0.0196","0.0462"
"26690","1640966400","60","0.0050","0.0253","0.0688"
"26690","1640970000","60","0.0038","0.0290","0.0712"
"26690","1640973600","60","0.0038","0.0211","0.0512"
"26690","1640977200","60","0.0062","0.0251","0.0575"
"26690","1640980800","60","0.0062","0.0275","0.0775"
"26690","1640984400","60","0.0038","0.0239","0.0650"
"26690","1640988000","60","0.0025","0.0200","0.0712"
"26690","1640991600","60","0.0038","0.0262","0.0838"
"26690","1640995200","60","0.0012","0.0191","0.0562"
"26690","1640998800","60","0.0025","0.0172","0.0438"
"26690","1641002400","60","0.0012","0.0177","0.0550"
"26690","1641006000","60","0.0012","0.0173","0.0450"
"26690","1641009600","60","0.0025","0.0210","0.0938"
"26690","1641013200","60","0.0025","0.0170","0.0362"
"26690","1641016800","60","0.0038","0.0238","0.0575"
"26690","1641020400","60","0.0038","0.0212","0.0612"
"26690","1641024000","60","0.0025","0.0214","0.0675"
"26690","1641027600","60","0.0025","0.0180","0.0475"
"26690","1641031200","60","0.0025","0.0215","0.0675"
"26690","1641034800","60","0.0038","0.0221","0.0675"
"26690","1641038400","60","0.0062","0.0212","0.0775"
"26690","1641042000","60","0.0025","0.0236","0.0775"
"26690","1641045600","60","0.0050","0.0262","0.0900"
"26690","1641049200","60","0.0038","0.0211","0.0675"
"26690","1641052800","60","0.0038","0.0234","0.0488"
"26690","1641056400","60","0.0038","0.0238","0.0662"
"26690","1641060000","60","0.0050","0.0240","0.0688"
"26690","1641063600","60","0.0025","0.0226","0.0662"
"26690","1641067200","60","0.0050","0.0262","0.0838"
"26690","1641070800","60","0.0038","0.0245","0.1050"
"26690","1641074400","60","0.0050","0.0206","0.0600"
"26690","1641078000","60","0.0025","0.0182","0.0462"
"26690","1641081600","60","0.0050","0.0204","0.0988"
"26690","1641085200","60","0.0025","0.0195","0.0488"
"26690","1641088800","60","0.0038","0.0156","0.0550"
"26690","1641092400","60","0.0012","0.0171","0.0512"
"26690","1641096000","60","0.0012","0.0168","0.0488"
"26690","1641099600","60","0.0025","0.0171","0.0562"
"26690","1641103200","60","0.0012","0.0175","0.0575"
"26690","1641106800","60","0.0012","0.0175","0.0612"
"26690","1641110400","60","0.0038","0.0185","0.0612"
"26690","1641114000","60","0.0012","0.0182","0.0750"
"26690","1641117600","60","0.0012","0.0216","0.0812"
"26690","1641121200","60","0.0038","0.0194","0.0462"
"26690","1641124800","60","0.0050","0.0259","0.0900"
"26690","1641128400","60","0.0038","0.0251","0.0500"
"26690","1641132000","60","0.0050","0.0243","0.0525"
"26690","1641135600","60","0.0062","0.0257","0.0775"
"26690","1641139200","60","0.0025","0.0244","0.0775"
"26690","1641142800","60","0.0050","0.0295","0.0662"
"26690","1641146400","60","0.0050","0.0259","0.0988"
"26690","1641150000","60","0.0062","0.0227","0.0450"
"26690","1641153600","60","0.0075","0.0275","0.1400"
"26690","1641157200","60","0.0050","0.0241","0.0662"
"26690","1641160800","60","0.0012","0.0178","0.0675"
"26690","1641164400","60","0.0050","0.0280","0.1500"
"26690","1641168000","60","0.0062","0.0872","0.8275"
"26690","1641171600","60","0.0025","0.0300","0.1225"
"26690","1641175200","60","0.0038","0.0382","0.1438"
"26690","1641178800","60","0.0100","0.0564","0.2500"
"26690","1641182400","60","0.0100","0.0478","0.1013"
"26690","1641186000","60","0.0213","0.0743","0.1650"
"26690","1641189600","60","0.0438","0.1301","0.2650"
"26690","1641193200","60","0.0525","0.1358","0.2600"
"26690","1641196800","60","0.0150","0.0710","0.1588"
"26690","1641200400","60","0.0175","0.0822","0.2838"
"26690","1641204000","60","0.0225","0.0966","0.2962"
"26690","1641207600","60","0.0175","0.0922","0.2825"
"26690","1641211200","60","0.0125","0.0919","0.3500"
"26690","1641214800","60","0.0275","0.0770","0.1862"
"26690","1641218400","60","0.0225","0.0615","0.1262"
"26690","1641222000","60","0.0125","0.0491","0.1212"
"26690","1641225600","60","0.0175","0.0706","0.1425"
"26690","1641229200","60","0.0150","0.0503","0.1150"
"26690","1641232800","60","0.0138","0.0471","0.1050"
"26690","1641236400","60","0.0125","0.0470","0.1125"
"26690","1641240000","60","0.0088","0.0422","0.1188"
"26690","1641243600","60","0.0050","0.0306","0.1062"
"26690","1641247200","60","0.0050","0.0366","0.0962"
"26690","1641250800","60","0.0012","0.0383","0.1438"
"26690","1641254400","60","0.0062","0.0328","0.0862"
"26690","1641258000","60","0.0062","0.0349","0.1088"
"26690","1641261600","60","0.0038","0.0347","0.1013"
"26690","1641265200","60","0.0100","0.0459","0.1438"
"26690","1641268800","60","0.0075","0.0491","0.1375"
"26690","1641272400","60","0.0275","0.0875","0.2000"
"26690","1641276000","60","0.0175","0.0652","0.1900"
"26690","1641279600","60","0.0175","0.0821","0.1650"
"26690","1641283200","60","0.0262","0.0803","0.2475"
"26690","1641286800","60","0.0162","0.0703","0.1450"
"26690","1641290400","60","0.0350","0.0828","0.1675"
"26690","1641294000","60","0.0188","0.0774","0.1575"
"26690","1641297600","60","0.0225","0.1010","0.2075"
"26690","1641301200","60","0.0112","0.0723","0.1788"
"26690","1641304800","60","0.0162","0.0734","0.1713"
"26690","1641308400","60","0.0112","0.0618","0.1775"
"26690","1641312000","60","0.0088","0.0580","0.1388"
"26690","1641315600","60","0.0125","0.0598","0.1488"
"26690","1641319200","60","0.0162","0.0493","0.1200"
"26690","1641322800","60","0.0150","0.0507","0.1338"
"26690","1641326400","60","0.0112","0.0504","0.1438"
"26690","1641330000","60","0.0100","0.0422","0.2262"
