clock,Free swap space in %,CPU $2 time 0,CPU $2 time 1,CPU $2 time 2,CPU $2 time 3,Processor load (1 min average per core) 4,CPU $2 time 5,CPU $2 time 6,CPU $2 time 7,CPU $2 time 8,CPU $2 time 9,CPU $2 time 10,CPU $2 time 11,CPU $2 time 12,CPU $2 time 13,CPU $2 time 14,Free swap space in % 15,Free inodes on $1 (percentage) 16,Free inodes on $1 (percentage) 17,Free inodes on $1 (percentage) 18,Free disk space on $1 (percentage) 19,Free disk space on $1 (percentage) 20,Free disk space on $1 (percentage) 21,Free inodes on $1 (percentage) 22,Free inodes on $1 (percentage) 23,Free inodes on $1 (percentage) 24,Free disk space on $1 (percentage) 25,Free disk space on $1 (percentage) 26,Free disk space on $1 (percentage) 27,Free disk space on $1 (percentage) 28,Free disk space on $1 (percentage) 29,Free disk space on $1 (percentage) 30,Processor load (1 min average per core) 31,CPU $2 time 32,CPU $2 time 33,CPU $2 time 34,CPU $2 time 35,CPU $2 time 36,CPU $2 time 37,CPU $2 time 38,CPU $2 time 39,CPU $2 time 40,CPU $2 time 41
2022-01-16 06:00:00,96.3379,0.0411,0.0,0.01,0.0,0.0089,0.8134,98.4299,0.0,0.0619,0.0,0.0084,0.0,0.5591,0.9404,0.7006,73.9083,96.7225,99.8723,99.9902,30.9934,75.7859,99.6154,96.6698,99.8723,99.9915,44.5205,75.7859,99.5043,48.2138,75.7859,99.6158,0.283,98.4393,0.0,74.414,0.0,0.1114,0.0,0.251,0.0,1.3779,23.7792
2022-01-16 07:00:00,96.2813,0.0426,0.0,0.0099,0.0,0.0103,0.8177,98.438,0.0,0.0637,0.0,0.0081,0.0,0.5626,0.95,0.7326,73.9083,96.7225,99.8723,99.9902,30.9837,75.7859,99.6154,96.6698,99.8723,99.9915,44.5182,75.7859,99.5043,48.2092,75.7859,99.6158,0.2832,98.4019,0.0,72.504,0.0,0.1582,0.0,0.2519,0.0,1.3963,25.6388
2022-01-16 08:00:00,96.2584,0.0415,0.0,0.0097,0.0,0.0111,0.8162,98.4217,0.0,0.0596,0.0,0.0077,0.0,0.5566,0.9428,0.7021,73.9083,96.7225,99.8723,99.9902,30.9791,75.7859,99.6154,96.6698,99.8723,99.9915,44.516,75.7859,99.5043,48.206,75.7859,99.6158,0.2589,98.4321,0.0,73.9472,0.0,0.0673,0.0,0.3745,0.0,1.6176,24.0255
2022-01-16 09:00:00,96.1931,0.0409,0.0,0.0097,0.0,0.01,0.8139,98.4058,0.0,0.0632,0.0,0.0079,0.0,0.5594,0.9416,0.7118,73.9083,96.7225,99.8723,99.9902,30.9724,75.7859,99.6154,96.6698,99.8723,99.9915,44.5138,75.7859,99.5043,48.2047,75.7859,99.6158,0.2708,98.4255,0.0,75.3787,0.0,0.0784,0.0,0.279,0.0,1.4688,22.8447
2022-01-16 10:00:00,96.2134,0.0412,0.0,0.0102,0.0,0.0127,0.7979,98.468,0.0,0.0593,0.0,0.0078,0.0,0.5525,0.9211,0.6923,73.9083,96.7225,99.8723,99.9902,30.9626,75.7859,99.6154,96.6698,99.8723,99.9915,44.5115,75.7859,99.5043,48.2033,75.7859,99.6158,0.2685,98.4473,0.0,76.577,0.0,0.0748,0.0,0.2285,0.0,1.3397,21.823
2022-01-16 11:00:00,96.2244,0.0415,0.0,0.0105,0.0,0.0131,0.8016,98.0411,0.0,0.295,0.0,0.0102,0.0,0.6393,1.0056,0.6972,73.9083,96.7225,99.8723,99.9902,30.9435,75.7859,99.6154,96.6698,99.8723,99.9915,44.4986,75.7859,99.5043,48.2021,75.7859,99.6158,0.3243,98.4541,0.0,70.8231,0.0,0.3079,0.0,0.3903,0.0,1.5778,26.9763
2022-01-16 12:00:00,96.1613,0.0413,0.0,0.0105,0.0,0.0147,0.8187,97.755,0.0,0.475,0.0,0.0122,0.0,0.6978,1.0675,0.7126,73.9084,96.7225,99.8723,99.9902,30.9305,75.7859,99.6154,96.6697,99.8723,99.9915,44.4833,75.7859,99.5043,48.2074,75.7859,99.6158,0.2988,98.4128,0.0,68.5445,0.0,0.4756,0.0,0.4516,0.0,1.7246,28.8679
2022-01-16 13:00:00,96.1755,0.0432,0.0,0.0109,0.0,0.0156,0.8346,97.9166,0.0,0.3581,0.0,0.011,0.0,0.6605,1.0393,0.7663,73.9084,96.7225,99.8723,99.9902,30.9256,75.7859,99.6154,96.6698,99.8723,99.9915,44.4925,75.7859,99.5043,48.2065,75.7859,99.6158,0.3977,98.3439,0.0,68.2188,0.0,0.3863,0.0,0.4472,0.0,1.7028,29.1938
2022-01-16 14:00:00,96.1909,0.0407,0.0,0.0106,0.0,0.0136,0.8139,97.9811,0.0,0.331,0.0,0.0103,0.0,0.6447,1.0441,0.7282,73.9084,96.7225,99.8723,99.9902,30.9183,75.7859,99.6154,96.6698,99.8723,99.9915,44.4979,75.7859,99.5043,48.2154,75.7859,99.6158,0.3468,98.4094,0.0,68.6201,0.0,0.3651,0.0,0.4243,0.0,1.6634,28.9561
2022-01-16 15:00:00,96.2085,0.04,0.0,0.0109,0.0,0.0165,0.8164,97.943,0.0,0.3467,0.0,0.0108,0.0,0.653,1.0493,0.7225,73.9084,96.7225,99.8723,99.9902,30.9138,75.7859,99.6154,96.6698,99.8723,99.9915,44.5054,75.7859,99.5043,48.214,75.7859,99.6158,0.3899,98.4098,0.0,66.5946,0.0,0.3418,0.0,0.4642,0.0,1.7258,30.8862
